"Video Code", "Kod video"
"Aspect Ratio", "Współczynnik proporcji"
"Auto-play", "Autoodtwarzanie"
"Responsive Iframe Template", "Responsywny Iframe"
"Number of Products to display", "Ilość produktów do wyświetlenia"
"Product image width (px)", "Szerokość obrazka produktu (px)"
"Product image height (px)", "Wysokość obrazka produktu (px)"
